id_amc,QL,lisa_cat,lisa_rotulo,ano
6003,0.2893987476989088,0,Não Significativo,1985
6004,0.0827452734103919,0,Não Significativo,1985
6005,1.4089060067174843,0,Não Significativo,1985
6006,5.647085904038694,0,Não Significativo,1985
6007,3.542184975950052,0,Não Significativo,1985
6009,11.011621512901923,1,Alto-Alto (Cluster),1985
6010,1.7226709938456597,3,Baixo-Baixo,1985
6011,16.127487390460225,1,Alto-Alto (Cluster),1985
6012,3.133220413893499,0,Não Significativo,1985
6013,1.1484473292304398,0,Não Significativo,1985
6014,0.553374928484575,3,Baixo-Baixo,1985
6015,0.4322514282632415,0,Não Significativo,1985
6017,3.725388428152433,0,Não Significativo,1985
6018,2.7575414252911203,0,Não Significativo,1985
6019,2.408130687646393,0,Não Significativo,1985
6021,0.0424567638709836,3,Baixo-Baixo,1985
6022,0.4638934503275475,0,Não Significativo,1985
6023,3.003830669464058,0,Não Significativo,1985
6024,1.453307892989793,0,Não Significativo,1985
6026,3.606223059528022,0,Não Significativo,1985
6027,11.521929932046334,1,Alto-Alto (Cluster),1985
6028,8.019828727590578,1,Alto-Alto (Cluster),1985
6029,2.738876011134957,0,Não Significativo,1985
6030,4.199576223175408,0,Não Significativo,1985
6031,6.372951503718754,1,Alto-Alto (Cluster),1985
6032,15.97041640648124,1,Alto-Alto (Cluster),1985
6033,6.389670904260113,1,Alto-Alto (Cluster),1985
6034,3.664433536745929,1,Alto-Alto (Cluster),1985
6035,0.1768405622000854,3,Baixo-Baixo,1985
6036,12.58008648290196,1,Alto-Alto (Cluster),1985
6037,14.502942944558583,1,Alto-Alto (Cluster),1985
6039,0.0458325310289212,0,Não Significativo,1985
6041,5.608104049192683,1,Alto-Alto (Cluster),1985
6042,0.6834125693778951,3,Baixo-Baixo,1985
6043,0.2595192666053201,0,Não Significativo,1985
6044,0.0181399632612651,0,Não Significativo,1985
6045,3.602701357321452,4,Alto-Baixo,1985
6046,9.63169910013566,1,Alto-Alto (Cluster),1985
6047,13.990889048332113,1,Alto-Alto (Cluster),1985
6048,1.2476368488205818,0,Não Significativo,1985
6049,0.0644612371890634,0,Não Significativo,1985
6050,0.1471862278070929,0,Não Significativo,1985
6051,0.9012943601821364,0,Não Significativo,1985
6052,8.830540754179745,1,Alto-Alto (Cluster),1985
6053,0.4028827324316462,3,Baixo-Baixo,1985
6054,2.6205363444326277,0,Não Significativo,1985
6055,15.577141219257523,1,Alto-Alto (Cluster),1985
6056,2.417712503645874,0,Não Significativo,1985
6057,7.798237474579377,1,Alto-Alto (Cluster),1985
6059,0.506539506428635,0,Não Significativo,1985
6060,9.871525310874064,1,Alto-Alto (Cluster),1985
6061,0.7793675323170691,0,Não Significativo,1985
6062,0.0242865623828508,3,Baixo-Baixo,1985
6063,0.6816253619764521,0,Não Significativo,1985
6064,0.4969655192392353,0,Não Significativo,1985
6065,3.330497254768275,0,Não Significativo,1985
6066,2.577208655277857,0,Não Significativo,1985
6067,8.787058716143743,1,Alto-Alto (Cluster),1985
6068,2.3446700673568657,0,Não Significativo,1985
6069,0.3259866807277267,3,Baixo-Baixo,1985
6070,0.9803589629734908,0,Não Significativo,1985
6071,6.67855116348894,1,Alto-Alto (Cluster),1985
6072,5.780440708304788,0,Não Significativo,1985
6073,3.085698506579625,0,Não Significativo,1985
6075,2.978089944651215,0,Não Significativo,1985
6077,8.105533258357944,0,Não Significativo,1985
6078,4.794262852779151,0,Não Significativo,1985
6079,0.0395143742091151,0,Não Significativo,1985
6082,5.313745782971586,0,Não Significativo,1985
6083,0.1867568554075668,0,Não Significativo,1985
6085,1.3011166703381216,0,Não Significativo,1985
6086,17.654425661224064,1,Alto-Alto (Cluster),1985
6088,2.0287292922446345,0,Não Significativo,1985
6089,1.3211889936270844,0,Não Significativo,1985
6091,0.8076108121491169,0,Não Significativo,1985
6092,10.281523377957935,1,Alto-Alto (Cluster),1985
6093,0.594731652637192,0,Não Significativo,1985
6094,0.2183932626077557,0,Não Significativo,1985
6095,14.844502049824314,1,Alto-Alto (Cluster),1985
6096,1.7802212497647796,0,Não Significativo,1985
6098,0.2024976616217481,3,Baixo-Baixo,1985
6099,3.4042561377529217,0,Não Significativo,1985
6100,0.2647857382370938,0,Não Significativo,1985
6101,0.0247989371166662,0,Não Significativo,1985
6102,0.3526408857989938,0,Não Significativo,1985
6103,0.4145847205105736,0,Não Significativo,1985
6105,0.2269883201833249,3,Baixo-Baixo,1985
6107,2.678684119116576,0,Não Significativo,1985
6108,11.920096007444844,1,Alto-Alto (Cluster),1985
6109,1.22896577666726,0,Não Significativo,1985
6110,3.307756429316723,0,Não Significativo,1985
6112,10.014133539102538,1,Alto-Alto (Cluster),1985
6113,1.5986386822887722,0,Não Significativo,1985
6114,8.358364684047896,0,Não Significativo,1985
6116,11.05114244844356,0,Não Significativo,1985
6117,3.5969370351497374,0,Não Significativo,1985
