id_amc,ql,rendimento_kg_ha,tipologia,ano
10264,0.0,0.0,Não especializado,1985
10265,0.0,0.0,Não especializado,1985
10266,0.0,0.0,Não especializado,1985
10267,0.22980266913137434,600.0,Não especializado,1985
10268,0.0,0.0,Não especializado,1985
10269,0.0,0.0,Não especializado,1985
1027,0.0,0.0,Não especializado,1985
10270,0.0,0.0,Não especializado,1985
10271,0.0,0.0,Não especializado,1985
10272,0.0,0.0,Não especializado,1985
10273,0.0,0.0,Não especializado,1985
10274,0.0,0.0,Não especializado,1985
10275,0.0,0.0,Não especializado,1985
10276,0.0,0.0,Não especializado,1985
10277,3.0802286749301966,300.0,Baixa espec. / Baixa produt.,1985
10278,0.13613932232503453,400.0,Não especializado,1985
10279,0.4688089977386429,300.0,Não especializado,1985
1028,0.0,0.0,Não especializado,1985
10280,0.0,0.0,Não especializado,1985
10281,0.0,0.0,Não especializado,1985
10282,0.0,0.0,Não especializado,1985
10283,0.0,0.0,Não especializado,1985
10284,0.0,0.0,Não especializado,1985
10285,3.748449358208526,600.0,Baixa espec. / Baixa produt.,1985
10286,0.0,0.0,Não especializado,1985
10287,0.0,0.0,Não especializado,1985
10288,0.0,0.0,Não especializado,1985
10289,0.19862478949210674,598.326359832636,Não especializado,1985
1029,0.0,0.0,Não especializado,1985
10290,0.31228291183950074,480.0,Não especializado,1985
10291,0.0,0.0,Não especializado,1985
10292,0.0,0.0,Não especializado,1985
10293,0.0,0.0,Não especializado,1985
10294,0.0,0.0,Não especializado,1985
10295,0.0,0.0,Não especializado,1985
10296,0.0,0.0,Não especializado,1985
10297,0.0,0.0,Não especializado,1985
10298,0.0,0.0,Não especializado,1985
10299,0.0,0.0,Não especializado,1985
1030,0.0,0.0,Não especializado,1985
10300,0.0,0.0,Não especializado,1985
10301,0.0,0.0,Não especializado,1985
10302,0.0,0.0,Não especializado,1985
10303,0.0,0.0,Não especializado,1985
10304,0.0,0.0,Não especializado,1985
10305,0.0,0.0,Não especializado,1985
10306,0.0,0.0,Não especializado,1985
10307,10.118666258261113,1562.8415300546449,Alta espec. / Alta produt.,1985
10308,1.1488875160181862,500.0,Baixa espec. / Baixa produt.,1985
10309,0.29648343514257647,483.3333333333333,Não especializado,1985
1031,0.0,0.0,Não especializado,1985
10310,0.0,0.0,Não especializado,1985
10311,0.0,0.0,Não especializado,1985
10312,0.0,0.0,Não especializado,1985
10313,0.0,0.0,Não especializado,1985
10314,0.32251425966122743,480.0,Não especializado,1985
10315,3.8539987519015724,600.0,Baixa espec. / Baixa produt.,1985
10316,0.0,0.0,Não especializado,1985
10317,0.0,0.0,Não especializado,1985
10318,0.0,0.0,Não especializado,1985
10319,0.0,0.0,Não especializado,1985
1032,0.0,0.0,Não especializado,1985
10320,0.0,0.0,Não especializado,1985
10321,0.0,0.0,Não especializado,1985
10322,0.0,0.0,Não especializado,1985
10323,0.02039010597796978,200.0,Não especializado,1985
10324,0.0,0.0,Não especializado,1985
10325,0.0,0.0,Não especializado,1985
10326,0.0,0.0,Não especializado,1985
10327,0.0,0.0,Não especializado,1985
10328,0.0,0.0,Não especializado,1985
10329,9.901730203535667,416.70381928964184,Alta espec. / Baixa produt.,1985
1033,0.0,0.0,Não especializado,1985
10330,0.0,0.0,Não especializado,1985
10331,0.0,0.0,Não especializado,1985
10332,0.0,0.0,Não especializado,1985
10333,0.0,0.0,Não especializado,1985
10334,0.0,0.0,Não especializado,1985
10335,0.0,0.0,Não especializado,1985
10336,0.0,0.0,Não especializado,1985
1034,0.0,0.0,Não especializado,1985
1035,0.0,0.0,Não especializado,1985
1036,0.0,0.0,Não especializado,1985
1037,0.0,0.0,Não especializado,1985
1038,0.0,0.0,Não especializado,1985
1039,0.0,0.0,Não especializado,1985
1040,0.0,0.0,Não especializado,1985
1041,0.0,0.0,Não especializado,1985
1042,0.0,0.0,Não especializado,1985
