id_amc,ano,area_colhida_ha,total_area_colhida_ha,QL
10120,1996,0.0,513.0,0.0
10120,2005,0.0,1927.0,0.0
10120,2024,0.0,2161.0,0.0
10121,1985,0.0,18506.0,0.0
10121,1996,0.0,1828.0,0.0
10121,2005,0.0,7349.0,0.0
10121,2024,0.0,7449.0,0.0
10122,1985,0.0,9733.0,0.0
10122,1996,0.0,17693.0,0.0
10122,2005,0.0,44786.0,0.0
10122,2024,0.0,11010.0,0.0
10123,1985,0.0,16515.0,0.0
10123,1996,0.0,4081.0,0.0
10123,2005,0.0,12294.0,0.0
10123,2024,0.0,4788.0,0.0
10124,1985,0.0,520.0,0.0
10124,1996,0.0,304.0,0.0
10124,2005,0.0,148.0,0.0
10124,2024,0.0,5.0,0.0
10125,1985,0.0,706.0,0.0
10125,1996,0.0,401.0,0.0
10125,2005,0.0,148.0,0.0
10125,2024,0.0,23.0,0.0
10126,1985,0.0,407.0,0.0
10126,1996,0.0,69352.0,0.0
10126,2005,18821.0,145019.0,5.816533572571915
10126,2024,52353.0,607638.0,3.920480442203959
10127,1985,0.0,2061.0,0.0
10127,1996,0.0,278.0,0.0
10127,2005,0.0,2321.0,0.0
10127,2024,0.0,173.0,0.0
10128,1985,0.0,2542.0,0.0
10128,1996,0.0,1145.0,0.0
10128,2005,0.0,3300.0,0.0
10128,2024,0.0,694.0,0.0
10129,1985,403.0,3256.0,2.47332382126219
10129,1996,0.0,1533.0,0.0
10129,2005,0.0,523.0,0.0
10129,2024,0.0,1542.0,0.0
1013,1985,0.0,2417.0,0.0
1013,1996,6.0,4454.0,0.07268283584736085
1013,2005,0.0,2800.0,0.0
1013,2024,0.0,3014.0,0.0
10130,1985,0.0,260.0,0.0
10130,1996,0.0,77.0,0.0
10130,2005,0.0,149.0,0.0
10130,2024,0.0,48.0,0.0
10131,1985,0.0,1429.0,0.0
10131,1996,0.0,1882.0,0.0
10131,2005,0.0,4172.0,0.0
10131,2024,0.0,1405.0,0.0
10132,1985,2785.0,11244.0,4.94953834286534
10132,1996,4800.0,20667.0,12.531256626085844
10132,2005,400.0,6250.0,2.8683122288024876
10132,2024,216.0,3436.0,2.8605084830519787
10133,1985,0.0,16042.0,0.0
10133,1996,0.0,1163.0,0.0
10133,2005,0.0,861.0,0.0
10133,2024,0.0,931.0,0.0
10134,1985,0.0,10152.0,0.0
10134,1996,0.0,13255.0,0.0
10134,2005,0.0,12814.0,0.0
10134,2024,0.0,14901.0,0.0
10135,1985,0.0,5203.0,0.0
10135,1996,0.0,1793.0,0.0
10135,2005,0.0,1415.0,0.0
10135,2024,0.0,365.0,0.0
10136,1985,793.0,1870.0,8.474067346624308
10136,1996,500.0,2746.0,9.824270176746333
10136,2005,30.0,1763.0,0.762632647334751
10136,2024,0.0,1564.0,0.0
10137,1985,0.0,573.0,0.0
10137,1996,0.0,236.0,0.0
10137,2005,0.0,275.0,0.0
10137,2024,0.0,30.0,0.0
10138,1985,0.0,2394.0,0.0
10138,1996,0.0,1410.0,0.0
10138,2005,0.0,5366.0,0.0
10138,2024,0.0,11844.0,0.0
10139,1985,0.0,1787.0,0.0
10139,1996,0.0,3395.0,0.0
10139,2005,0.0,753.0,0.0
10139,2024,0.0,317.0,0.0
1014,1985,0.0,3442.0,0.0
1014,1996,0.0,2054.0,0.0
1014,2005,0.0,2242.0,0.0
1014,2024,0.0,2543.0,0.0
10140,1985,20.0,10029.0,0.039850400894624896
10140,1996,2500.0,25235.0,5.345243888517026
10140,2005,200.0,24655.0,0.3635561028192161
10140,2024,0.0,4201.0,0.0
10141,1985,80.0,2252.0,0.7098750809452806
10141,1996,16.0,890.0,0.9699755831135437
10141,2005,15.0,512.0,1.3130091379405917
10141,2024,0.0,360.0,0.0
10142,1985,0.0,928.0,0.0
10142,1996,0.0,747.0,0.0
10142,2005,0.0,330.0,0.0
10142,2024,0.0,375.0,0.0
10143,1985,0.0,311.0,0.0
10143,1996,0.0,85.0,0.0
10143,2005,0.0,1295.0,0.0
10143,2024,0.0,108.0,0.0
10144,1985,0.0,2398.0,0.0
10144,1996,0.0,861.0,0.0
10144,2005,0.0,881.0,0.0
10144,2024,0.0,5764.0,0.0
10145,1985,0.0,365.0,0.0
10145,1996,0.0,261.0,0.0
10145,2005,0.0,1598.0,0.0
10145,2024,0.0,61.0,0.0
10146,1985,0.0,1184.0,0.0
10146,1996,0.0,1145.0,0.0
10146,2005,0.0,1374.0,0.0
10146,2024,0.0,1061.0,0.0
10147,1985,0.0,13885.0,0.0
10147,1996,1000.0,56400.0,0.9566470179200508
10147,2005,0.0,33798.0,0.0
10147,2024,0.0,6197.0,0.0
10148,1985,100.0,1094.0,1.8265981287577377
10148,1996,255.0,838.0,16.418254667930988
10148,2005,1200.0,3293.0,16.331871937457223
10148,2024,0.0,908.0,0.0
10149,1985,0.0,2899.0,0.0
